Node, 368
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.2, -2.858861117E-04, 7.840113249E-04, -3.511730029E-06, -3.847431344E-06, 0, 0, 0, 0, 0, 0, 0, 0, 13.4809585, 183.018555, 58.2264366, -0.304834902, 0, 0
1.4, -5.717722233E-04, 1.56802265E-03, -7.023460057E-06, -7.694862688E-06, 0, 0, 0, 0, 0, 0, 0, 0, 26.9619169, 366.037109, 116.452873, -0.609669805, 0, 0
1.7, -6.955839344E-04, 1.752014679E-03, 2.083707805E-04, -7.875722076E-06, 0, 0, -1.171042735E-03, 1.394551771E-03, -2.235090651E-04, -8.200237062E-06, 0, 0, 40.0934963, 427.943741, 183.335548, -0.624000072, 0, 0
2, -7.973376196E-04, 1.944703283E-03, 3.634400055E-04, -9.085830243E-06, 0, 0, -2.863904345E-03, 3.259821329E-03, -3.959168971E-04, -1.992855687E-05, 0, 0, 53.2060928, 487.714111, 237.144699, -0.71987772, 0, 0
2.2, -5.134198E-04, 1.190262614E-03, 3.668166755E-04, -5.835892807E-06, -3.330286854E-04, 5.310819233E-07, -2.863904345E-03, 3.259821329E-03, -3.959168971E-04, -1.992855687E-05, 0, 0, 42.6776257, 312.645752, 182.161247, -0.462382317, -26.3861189, 4.207801819E-02
2.4, -2.29520323E-04, 4.358789301E-04, 3.701984679E-04, -2.560587745E-06, -6.660573708E-04, 1.062163847E-06, -2.863904345E-03, 3.259821329E-03, -3.959168971E-04, -1.992855687E-05, 0, 0, 32.1514454, 137.591637, 127.183807, -0.202877522, -52.7722378, 8.415603638E-02
2.7, 1.963288596E-04, -6.956965372E-04, 3.752711491E-04, 2.352367574E-06, -1.165600377E-03, 1.858786163E-06, -2.863904345E-03, 3.259821329E-03, -3.959168971E-04, -1.992855687E-05, 0, 0, 16.3621783, -124.98954, 44.7176495, 0.18637991, -92.3514137, 0.147273123
3, 4.296872648E-04, -1.175262616E-03, 1.165160502E-04, 4.513161912E-06, -1.049406652E-03, 1.64166886E-06, -2.225037897E-03, 2.356194076E-03, -1.311560045E-04, -1.543598773E-05, -7.838190068E-04, 1.225492724E-06, -6.67237353, -260.995193, -56.297966, 0.357581377, -83.145298, 0.130070686
3.2, 1.457876933E-04, -4.208788887E-04, 1.131342578E-04, 1.237858669E-06, -7.163780974E-04, 1.110580797E-06, -2.225037897E-03, 2.356194076E-03, -1.311560045E-04, -1.543598773E-05, -7.838190068E-04, 1.225492724E-06, 3.85378277, -85.9410782, -1.32053041, 9.807649255E-02, -56.7591896, 8.799219131E-02
3.4, -1.381117618E-04, 3.335047513E-04, 1.097524691E-04, -2.037444574E-06, -3.83349412E-04, 5.794986464E-07, -2.225037897E-03, 2.356194076E-03, -1.311560045E-04, -1.543598773E-05, -7.838190068E-04, 1.225492724E-06, 14.3799615, 89.1130409, 53.6569099, -0.161428332, -30.3730688, 4.591411352E-02
3.7, -5.63960959E-04, 1.465080248E-03, 1.046797843E-04, -6.950402167E-06, 1.161936125E-04, -2.171241817E-07, -2.225037897E-03, 2.356194076E-03, -1.311560045E-04, -1.543598773E-05, -7.838190068E-04, 1.225492724E-06, 30.1692295, 351.694229, 136.12307, -0.550685883, 9.20610905, -1.720291749E-02
4, -7.198434032E-04, 1.864092192E-03, 2.69762706E-04, -9.112161933E-06, 3.344222059E-04, -5.690790204E-07, -3.136126674E-03, 3.439142951E-03, -3.030162625E-04, -2.244005736E-05, -4.403054336E-04, 6.510590538E-07, 53.982336, 463.436752, 210.796844, -0.721963882, 26.4965286, -4.508855939E-02
4.2, -4.35945316E-04, 1.109709789E-03, 2.731444838E-04, -5.836565833E-06, 1.390549414E-06, -3.809939209E-08, -3.136126674E-03, 3.439142951E-03, -3.030162625E-04, -2.244005736E-05, -4.403054336E-04, 6.510590538E-07, 43.4559269, 288.382812, 155.819382, -0.462435722, 0.110174298, -3.018644114E-03
4.4, -1.520458536E-04, 3.553261777E-04, 2.765262761E-04, -2.561260771E-06, -3.316381481E-04, 4.929825081E-07, -3.136126674E-03, 3.439142951E-03, -3.030162625E-04, -2.244005736E-05, -4.403054336E-04, 6.510590538E-07, 32.9297466, 113.328701, 100.841946, -0.202930689, -26.2759447, 3.905937076E-02
4.7, 2.738033363E-04, -7.762493042E-04, 2.815989574E-04, 2.351695912E-06, -8.311811835E-04, 1.289605279E-06, -3.136126674E-03, 3.439142951E-03, -3.030162625E-04, -2.244005736E-05, -4.403054336E-04, 6.510590538E-07, 17.1404791, -149.252472, 18.3757858, 0.186326653, -65.8551216, 0.102176428
5, 4.966955166E-04, -1.282576006E-03, 6.410198694E-05, 4.792869731E-06, -8.693533018E-04, 1.250292371E-06, -2.494136454E-03, 2.573741134E-03, -7.960468429E-05, -1.817011798E-05, -1.02875731E-03, 1.496520781E-06, -7.07346511, -289.019562, -75.6228981, 0.379742861, -68.8795319, 9.906160831E-02
5.2, 2.127959815E-04, -5.281923222E-04, 6.072019642E-05, 1.517571945E-06, -5.363246892E-04, 7.192056728E-07, -2.494136454E-03, 2.573741134E-03, -7.960468429E-05, -1.817011798E-05, -1.02875731E-03, 1.496520781E-06, 3.45270169, -113.965443, -20.645462, 0.120238364, -42.4934177, 5.69832325E-02
5.4, -7.11034736E-05, 2.261913469E-04, 5.733840771E-05, -1.757732207E-06, -2.032960183E-04, 1.881239768E-07, -2.494136454E-03, 2.573741134E-03, -7.960468429E-05, -1.817011798E-05, -1.02875731E-03, 1.496520781E-06, 13.9788804, 61.0886745, 34.3319798, -0.139266491, -16.1072998, 1.490519941E-02
5.7, -4.96952649E-04, 1.3577668E-03, 5.226572284E-05, -6.67068889E-06, 2.962470171E-04, -6.084990218E-07, -2.494136454E-03, 2.573741134E-03, -7.960468429E-05, -1.817011798E-05, -1.02875731E-03, 1.496520781E-06, 29.7681484, 323.669846, 116.798141, -0.528523684, 23.471879, -4.821184278E-02
6, -6.76478463E-04, 1.803021587E-03, 2.279409964E-04, -8.968920156E-06, 4.54958863E-04, -8.305214578E-07, -3.309929394E-03, 3.571685869E-03, -2.617565042E-04, -2.464285353E-05, -6.108082598E-04, 7.593498594E-07, 53.7794094, 446.684799, 197.095108, -0.710614204, 36.0467415, -6.580284238E-02
6.2, -3.925799247E-04, 1.048644655E-03, 2.313227378E-04, -5.685215001E-06, 1.219259284E-04, -2.986821528E-07, -3.309929394E-03, 3.571685869E-03, -2.617565042E-04, -2.464285353E-05, -6.108082598E-04, 7.593498594E-07, 43.253767, 271.632446, 142.11834, -0.450443983, 9.660285, -2.366481721E-02
6.4, -1.086804732E-04, 2.942610008E-04, 2.347045302E-04, -2.409911758E-06, -2.11102757E-04, 2.323997705E-07, -3.309929394E-03, 3.571685869E-03, -2.617565042E-04, -2.464285353E-05, -6.108082598E-04, 7.593498594E-07, 32.7275877, 96.5783157, 87.1409035, -0.190939188, -16.7258339, 1.841320097E-02
6.7, 3.171687131E-04, -8.373144665E-04, 2.397772114E-04, 2.503044016E-06, -7.10645807E-04, 1.029022769E-06, -3.309929394E-03, 3.571685869E-03, -2.617565042E-04, -2.464285353E-05, -6.108082598E-04, 7.593498594E-07, 16.9383202, -166.002853, 4.67474425, 0.198318064, -56.3050137, 8.153021336E-02
7, 5.317103059E-04, -1.339925278E-03, 3.425652358E-05, 4.974121111E-06, -7.902196667E-04, 1.130928467E-06, -2.650915063E-03, 2.701256541E-03, -5.034145579E-05, -2.033218334E-05, -1.144967624E-03, 1.531991074E-06, -7.72634816, -304.308609, -86.5536423, 0.394103527, -62.6097126, 8.960431814E-02
7.2, 2.478108654E-04, -5.855416239E-04, 3.087473488E-05, 1.698817869E-06, -4.571909667E-04, 5.998472261E-07, -2.650915063E-03, 2.701256541E-03, -5.034145579E-05, -2.033218334E-05, -1.144967624E-03, 1.531991074E-06, 2.79983068, -129.254494, -31.5762014, 0.134598613, -36.2235928, 4.752635956E-02
7.4, -3.608859879E-05, 1.688420161E-04, 2.749294526E-05, -1.576486738E-06, -1.241622886E-04, 6.876541647E-08, -2.650915063E-03, 2.701256541E-03, -5.034145579E-05, -2.033218334E-05, -1.144967624E-03, 1.531991074E-06, 13.3260093, 45.7996292, 23.4012384, -0.124906242, -9.83747387, 5.448333919E-03
7.7, -4.619377869E-04, 1.300417469E-03, 2.242026039E-05, -6.489441148E-06, 3.753807396E-04, -7.278574685E-07, -2.650915063E-03, 2.701256541E-03, -5.034145579E-05, -2.033218334E-05, -1.144967624E-03, 1.531991074E-06, 29.1152773, 308.380798, 105.867401, -0.514163494, 29.7417049, -5.766873062E-02
8, -6.498923467E-04, 1.761420281E-03, 2.033018973E-04, -8.817427442E-06, 5.130094069E-04, -9.226610018E-07, -3.428130643E-03, 3.665674361E-03, -2.375436234E-04, -2.655338903E-05, -6.999410107E-04, 7.616145012E-07, 53.2795391, 435.379852, 188.478004, -0.698612213, 40.6461315, -7.310315967E-02
