Node, 368
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.2, -2.858861117E-04, 7.840113249E-04, -3.511730029E-06, -3.847431344E-06, -3.388779151E-04, 6.603850693E-07, 0, 0, 0, 0, 0, 0, 13.4809585, 183.018555, 58.2264366, -0.304834902, -26.8495579, 5.23228161E-02
1.4, -5.503591674E-04, 1.477784594E-03, 3.90346213E-06, -6.381716958E-06, -6.472654641E-04, 1.020419404E-06, -2.997233423E-05, 4.064574023E-05, -1.0673406E-05, -2.176238922E-07, -2.253717139E-05, 3.492168332E-08, 23.474102, 344.856873, 111.30341, -0.505628586, -51.2833405, 8.084863424E-02
1.7, -6.828158803E-04, 1.710341312E-03, 2.16372573E-04, -7.740345609E-06, -6.454186805E-04, 1.018966486E-06, -1.260378282E-03, 1.492781623E-03, -2.324033703E-04, -8.859933587E-06, -7.456360036E-04, 1.173506462E-06, 39.6324387, 418.855804, 182.119225, -0.613273621, -51.1370163, 8.073350787E-02
2, -7.819496677E-04, 1.910717925E-03, 3.669950238E-04, -8.964947483E-06, -6.737987278E-04, 1.142079327E-06, -3.016289324E-03, 3.418521257E-03, -4.022318899E-04, -2.105199383E-05, -1.661073009E-03, 2.727606443E-06, 53.8567619, 480.541016, 235.920303, -0.710299969, -53.3855896, 9.048786759E-02
2.2, -2.140566576E-04, 4.017223982E-04, 3.737491206E-04, -2.427877916E-06, -7.669824072E-06, 7.7876531E-08, -3.016289324E-03, 3.418521257E-03, -4.022318899E-04, -2.105199383E-05, -1.661073009E-03, 2.727606443E-06, 32.802248, 130.379539, 125.946854, -0.192362785, -0.607686043, 6.17021753E-03
2.4, 3.164180671E-04, -1.017926028E-03, 3.350991465E-04, 3.720736913E-06, 5.988448975E-04, -8.668321243E-07, -2.950949827E-03, 3.307755338E-03, -3.568055545E-04, -2.054288052E-05, -1.592172077E-03, 2.627545655E-06, 6.59381485, -204.848412, 9.55404806, 0.294796914, 47.4469433, -6.867977977E-02
2.7, 6.458404532E-04, -1.596556511E-03, -1.243925435E-04, 6.696449418E-06, 6.43319072E-04, -9.716668501E-07, -7.544949767E-04, 6.343329151E-04, 1.201620798E-04, -5.845133273E-06, -2.162464589E-04, 5.294226639E-07, -25.431654, -380.765335, -147.483963, 0.530564785, 50.970665, -7.698589563E-02
3, 8.181678422E-04, -1.978395856E-03, -3.923148033E-04, 9.279530786E-06, 6.923560868E-04, -1.157539828E-06, 2.792977029E-03, -3.218682832E-03, 4.257056862E-04, 1.870542474E-05, 1.59849989E-03, -2.515009328E-06, -54.8656044, -498.013382, -246.68055, 0.735224247, 54.8559055, -9.171274304E-02
3.2, 2.501719864E-04, -4.691364884E-04, -3.990511032E-04, 2.719611075E-06, 2.587664403E-05, -1.009523913E-07, 2.792977029E-03, -3.218682832E-03, 4.257056862E-04, 1.870542474E-05, 1.59849989E-03, -2.515009328E-06, -33.806139, -147.788864, -136.683029, 0.215477228, 2.05022633, -7.99853541E-03
3.4, -2.801379742E-04, 9.486909548E-04, -3.588214167E-04, -3.415363835E-06, -5.791207077E-04, 8.38987944E-07, 2.727271407E-03, -3.105971031E-03, 3.786995221E-04, 1.818862802E-05, 1.527977234E-03, -2.412413778E-06, -7.58069015, 187.141434, -20.0489864, -0.270601891, -45.8841763, 6.647366285E-02
3.7, -6.250480947E-04, 1.556773379E-03, 1.062906085E-04, -6.462225429E-06, -6.345967122E-04, 9.608934306E-07, 5.907470186E-04, -4.870390985E-04, -1.037079164E-04, 3.94914241E-06, 1.713649035E-04, -3.410837053E-07, 24.3181105, 370.052902, 140.207169, -0.51200676, -50.2795849, 7.613229752E-02
4, -8.098418766E-04, 1.962314476E-03, 3.821477003E-04, -9.093309927E-06, -6.899618602E-04, 1.154999154E-06, -2.885951893E-03, 3.302660305E-03, -4.16708368E-04, -1.984651317E-05, -1.619945047E-03, 2.662392944E-06, 54.0549355, 493.335098, 242.939438, -0.720469952, -54.6662083, 9.151148796E-02
4.2, -2.418643853E-04, 4.5310102E-04, 3.88886212E-04, -2.542321454E-06, -2.343058623E-05, 9.70877494E-08, -2.885951893E-03, 3.302660305E-03, -4.16708368E-04, -1.984651317E-05, -1.619945047E-03, 2.662392944E-06, 32.9960909, 143.121376, 132.945793, -0.201430082, -1.85642332, 7.692335173E-03
4.4, 2.885732683E-04, -9.655602917E-04, 3.493103286E-04, 3.595610906E-06, 5.822256207E-04, -8.448355402E-07, -2.820483642E-03, 3.190839663E-03, -3.703560797E-04, -1.932556916E-05, -1.550121233E-03, 2.560625035E-06, 6.78464818, -191.947281, 16.4091382, 0.284883007, 46.1301842, -6.693699956E-02
4.7, 6.296203064E-04, -1.566869032E-03, -1.133080295E-04, 6.64500476E-06, 6.354466313E-04, -9.62548711E-07, -6.663066742E-04, 5.566755717E-04, 1.096311353E-04, -4.740973964E-06, -1.890525527E-04, 4.793771495E-07, -25.0840292, -373.143112, -142.809601, 0.526489258, 50.3469257, -7.626345754E-02
5, 8.1146296E-04, -1.966822543E-03, -3.862860322E-04, 9.264032997E-06, 6.898582506E-04, -1.156781764E-06, 2.835467109E-03, -3.255480784E-03, 4.200137337E-04, 1.958959911E-05, 1.609974366E-03, -2.54585666E-06, -54.6329727, -494.884369, -244.430122, 0.733996868, 54.657999, -9.165269136E-02
5.2, 2.434784474E-04, -4.575909843E-04, -3.930232779E-04, 2.71256431E-06, 2.337143451E-05, -9.930241163E-08, 2.835467109E-03, -3.255480784E-03, 4.200137337E-04, 1.958959911E-05, 1.609974366E-03, -2.54585666E-06, -33.5737896, -144.666328, -134.434837, 0.214918613, 1.85173672, -7.867807522E-03
5.4, -2.868983574E-04, 9.607365646E-04, -3.531987895E-04, -3.42827343E-06, -5.820147053E-04, 8.421307029E-07, 2.769890358E-03, -3.143303213E-03, 3.734128259E-04, 1.907715341E-05, 1.53986417E-03, -2.443924132E-06, -7.35559869, 190.34655, -17.8616676, -0.271624729, -46.1134739, 6.672266126E-02
5.7, -6.290155288E-04, 1.563813945E-03, 1.103667419E-04, -6.477286661E-06, -6.35722361E-04, 9.611253518E-07, 6.216541515E-04, -5.141656729E-04, -1.074884676E-04, 4.78009315E-06, 1.798569356E-04, -3.69416739E-07, 24.5390949, 372.018219, 141.702751, -0.513200283, -50.3687744, 7.615071535E-02
6, -8.115475648E-04, 1.965206931E-03, 3.843598097E-04, -9.10719973E-06, -6.902173336E-04, 1.153890025E-06, -2.869282383E-03, 3.288008855E-03, -4.187264276E-04, -1.913111191E-05, -1.615971327E-03, 2.638767E-06, 54.1885834, 494.197372, 243.693909, -0.721570015, -54.686451, 9.142354131E-02
6.2, -2.435680508E-04, 4.559880472E-04, 3.91097914E-04, -2.552824299E-06, -2.369993672E-05, 9.642850785E-08, -2.869282383E-03, 3.288008855E-03, -4.187264276E-04, -1.913111191E-05, -1.615971327E-03, 2.638767E-06, 33.1296177, 143.982353, 133.69976, -0.202262402, -1.87776423, 7.640105672E-03
6.4, 2.868370502E-04, -9.624781087E-04, 3.513726988E-04, 3.583284524E-06, 5.818047212E-04, -8.44832357E-07, -2.803754876E-03, 3.175979597E-03, -3.722248075E-04, -1.860983321E-05, -1.545987092E-03, 2.536749889E-06, 6.91459465, -191.05381, 17.1410131, 0.2839064, 46.0968361, -6.693676114E-02
6.7, 6.286276621E-04, -1.565022569E-03, -1.118416039E-04, 6.628357369E-06, 6.354043726E-04, -9.631248759E-07, -6.532322441E-04, 5.448909069E-04, 1.083413335E-04, -4.075958714E-06, -1.857534444E-04, 4.563047469E-07, -24.9655685, -372.574753, -142.301468, 0.525169849, 50.3435783, -7.63091445E-02
7, 8.110357448E-04, -1.966010197E-03, -3.854675451E-04, 9.246716218E-06, 6.89912471E-04, -1.157259248E-06, 2.84328009E-03, -3.262596321E-03, 4.193162458E-04, 2.016747021E-05, 1.611649815E-03, -2.566346666E-06, -54.5576439, -494.612625, -244.157394, 0.732624054, 54.6622963, -9.169051051E-02
7.2, 2.430539389E-04, -4.567860451E-04, -3.922051401E-04, 2.694730938E-06, 2.340942865E-05, -9.979879678E-08, 2.84328009E-03, -3.262596321E-03, 4.193162458E-04, 2.016747021E-05, 1.611649815E-03, -2.566346666E-06, -33.4986076, -144.396332, -134.162735, 0.213505507, 1.854747, -7.907135412E-03
7.4, -2.87337476E-04, 9.61617392E-04, -3.524361236E-04, -3.44566979E-06, -5.82035922E-04, 8.417409845E-07, 2.777729183E-03, -3.150500008E-03, 3.727708099E-04, 1.965388947E-05, 1.541602134E-03, -2.464514182E-06, -7.28203964, 190.629265, -17.5976734, -0.273003072, -46.1151524, 6.669178605E-02
7.7, -6.292440812E-04, 1.564365579E-03, 1.109176956E-04, -6.496291462E-06, -6.35651144E-04, 9.608461369E-07, 6.282616523E-04, -5.203354522E-04, -1.079262074E-04, 5.310179404E-06, 1.81377749E-04, -3.894825795E-07, 24.6067495, 372.209503, 141.893929, -0.514706135, -50.3631306, 7.612860203E-02
